SiteID;Date Time;NOx;NO2;NO;PM10;NVPM10;VPM10;NVPM2.5;PM2.5;VPM2.5;CO;O3;SO2;Temperature;Location;geo_point_2d
459;2010-11-07T13:00:00+00:00;78.81;29.14;32.38;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-07T19:00:00+00:00;139.97;49.81;58.79;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-08T06:00:00+00:00;33.61;16.47;11.18;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-08T07:00:00+00:00;56.21;24.06;20.96;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-08T11:00:00+00:00;80.86;26.55;35.41;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-09T00:00:00+00:00;43.89;22.91;13.67;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-09T01:00:00+00:00;42.07;22.04;13.06;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-09T05:00:00+00:00;32.73;20.43;8.02;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-10T01:00:00+00:00;22.52;18.31;2.74;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-10T09:00:00+00:00;160.51;53.59;69.72;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-10T13:00:00+00:00;74.41;31.4;28.04;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-11T20:00:00+00:00;61.9;32.71;19.04;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-12T01:00:00+00:00;15.71;9.68;3.93;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-12T05:00:00+00:00;9.84;7.96;1.23;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-12T22:00:00+00:00;77.28;39.99;24.32;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-13T01:00:00+00:00;83.56;29.13;35.49;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-13T03:00:00+00:00;76.81;22.44;35.45;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-13T12:00:00+00:00;125.12;38.41;56.54;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-14T04:00:00+00:00;93.84;34.0;39.02;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-14T06:00:00+00:00;195.15;27.25;109.47;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-14T15:00:00+00:00;117.61;45.72;46.88;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-14T22:00:00+00:00;145.37;43.4;66.49;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-15T01:00:00+00:00;204.47;34.48;110.84;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-15T03:00:00+00:00;104.95;32.67;47.13;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-15T17:00:00+00:00;184.41;54.24;84.87;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-16T06:00:00+00:00;199.08;21.67;115.68;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-16T07:00:00+00:00;257.37;25.41;151.24;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-16T11:00:00+00:00;256.79;52.79;133.02;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-17T00:00:00+00:00;39.94;24.42;10.12;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-17T01:00:00+00:00;29.38;18.87;6.85;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-17T09:00:00+00:00;150.89;41.93;71.04;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-18T04:00:00+00:00;57.11;27.12;19.55;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-18T08:00:00+00:00;140.16;41.16;64.55;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-18T17:00:00+00:00;203.08;48.43;100.84;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-19T09:00:00+00:00;402.76;50.85;229.46;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-19T11:00:00+00:00;184.64;51.38;86.89;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-19T13:00:00+00:00;142.13;51.23;59.27;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-20T11:00:00+00:00;100.2;30.88;45.2;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-20T14:00:00+00:00;70.85;31.77;25.48;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-22T20:00:00+00:00;155.64;42.05;74.07;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-23T04:00:00+00:00;122.29;22.8;64.87;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-23T06:00:00+00:00;131.17;25.55;68.87;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-23T10:00:00+00:00;259.11;60.79;129.31;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-23T15:00:00+00:00;120.38;39.68;52.62;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-11-23T19:00:00+00:00;285.55;57.93;148.42;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
459;2010-04-24T04:00:00+00:00;51.55;46.38;3.37;;;;;;;;;;;Cheltenham Road \ Station Road;51.4689385901,-2.5927241667
